"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Ampd3",-3.54983937773306,4.31202653816637,-13.4506738172726,0.0000000623146969074421,0.00000231052251629409,8.92679278704846
"Gvin-ps4",-4.62815242239083,5.24371935084375,-13.4136828972947,0.0000000640410320995728,0.00000236192394139982,8.90089329822808
"Ankrd9",-5.35592765615066,3.26407422482038,-13.86289890245,0.0000000461625909573043,0.00000178136309327464,8.89267113487322
"Baz2a",-3.21503925649862,6.60106764928046,-13.5534306134167,0.0000000577798515030323,0.00000216549738420897,8.88844733466695
"Snx15",-4.59174937905253,3.74011063248589,-13.4313156449022,0.0000000632117075514843,0.00000233547085453516,8.88464228426609
"Mmp8",-6.03657771537063,4.85689017803803,-13.6280866932399,0.000000054711205267777,0.00000206534799885858,8.87146253875467
"Rit1",-3.81514060609664,4.33838716148709,-13.3938777901593,0.0000000649867054432508,0.00000239256708131883,8.86271251000458
"Gclc",-2.41816037278479,6.55459537208546,-13.5004109462578,0.0000000600730227547032,0.00000223536008600447,8.85769645494927
"Mospd1",-3.0956135854479,4.69052087996929,-13.3507596194808,0.0000000670986591883456,0.00000246162299325131,8.85471320021106
"Nxpe4",-4.17792526450481,3.26984821528883,-13.4376120448394,0.0000000629184118277222,0.00000232876352693797,8.83897662798093
"Slc14a1",-2.45405184339551,6.71134929526811,-13.5415971905859,0.0000000582832596915631,0.00000218044266688113,8.83538582540413
"Tpra1",-3.82356464327402,4.70541314665685,-13.3104061846495,0.0000000691431465234002,0.00000252330102846692,8.82515790357645
"Trmo",-3.90115610283988,4.09430180619013,-13.2619047911611,0.0000000716908108490058,0.00000260260124820833,8.77415407744869
"Serinc5",-2.87166703290165,5.30158777841283,-13.2533291580452,0.0000000721518289527154,0.00000261093947449299,8.76203986791244
"Ddhd1",-3.43720132097693,5.30809880168305,-13.226210172491,0.000000073631127399783,0.00000264062439276285,8.75188464747612
"Vangl1",-6.43640121091073,3.13024090069513,-14.0193684212614,0.0000000412807473003465,0.00000163167376127782,8.75053538023682
"Xk",-3.08060852896337,5.35263275291175,-13.2240212812023,0.0000000737519625966014,0.00000264062439276285,8.7287629287262
"Cd82",-3.11702905821168,5.37742103742175,-13.1900083184753,0.0000000756576630502586,0.00000269496475665178,8.72129930972478
"Zbtb44",-2.42281258533305,6.94148689570644,-13.3269738921417,0.0000000682956453757928,0.00000250113296720698,8.70123390648878
"Ubr3",-2.25443771213617,6.7214717405868,-13.2965186514665,0.000000069862385913567,0.00000254509160431278,8.69718238192376
"Trim23",-2.95677423889261,6.00743291300978,-13.1992854774746,0.0000000751326063047627,0.0000026818024990636,8.69142785293129
"Kbtbd2",-2.23855836731981,6.66076534164073,-13.274319144522,0.0000000710291081779977,0.00000258307950473493,8.68816123011966
"Rpl39",2.27691591296067,8.20832620429649,13.2262587021623,0.0000000736284508232734,0.00000264062439276285,8.66517952931315
"Tmem140",-6.56666730200259,3.387194490316,-13.9878431008241,0.0000000422170826630623,0.00000165984824251489,8.65835551440295
"Gm23946",-3.35080527561907,6.95099927575414,-13.252972207022,0.0000000721710882670104,0.00000261093947449299,8.65164740715558
"Cybb",-5.55557298473082,6.44956323695696,-13.0991937411439,0.0000000810141054250575,0.00000286130835397856,8.6442496436565
"Pcyt1b",-3.4856870696025,4.16853381245094,-13.0590068696215,0.0000000835152231434175,0.00000293472212455739,8.63698303385389
"Zfp526",-3.42160826594388,4.29935568551497,-13.0551110630806,0.0000000837621277037902,0.0000029384431264168,8.63497928819613
"Ptpa",-2.73645519042901,6.46354720930542,-13.1988094327838,0.0000000751594519365171,0.0000026818024990636,8.62605383297184
