"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"St8sia6",451.897435804269,-3.22089265213244,0.43501637166822,-7.40407226463872,0.000000000000132070493886943,0.0000000000192846505091702
"Gstp3",81.7831253641334,-3.18482693504478,0.671144564652283,-4.74536650191725,0.0000020812914291128,0.0000591955478812361
"Cacna1e",137.180881635583,-3.11077340652784,0.668339399454502,-4.6544815539333,0.00000324796911200117,0.0000862293617819272
"Gm36948",127.315359738167,-3.09977988060812,0.604538382931057,-5.12751542024359,0.000000293590940159784,0.0000107173799896721
"Pam16l",63.5169858036947,-3.08168965890072,0.93266789750047,-3.30416611010156,0.000952593714035019,0.0109171111417861
"ENSMUSG00000084956",163.39367028225,-3.07864078716599,0.717079983613326,-4.29330180386976,0.0000176035458295278,0.000390092667338885
"Ppfia4",144.080671284959,-3.06640855861052,0.564467531387304,-5.43239139206846,0.0000000556037966267972,0.00000242491864009238
"Tmod1",5863.64431362303,-2.85466157820354,0.964643448457596,-2.95929193607023,0.00308346842124922,0.0276767522289296
"F13a1",4842.50410489406,-2.79032937590424,0.642004235848628,-4.346278762812,0.0000138466575097794,0.000311483131932507
"Dnah12",106.532434883114,-2.76684201834033,0.67466508738178,-4.10106002235539,0.0000411261857855273,0.000818220976078483
"Slc4a8",71.9680928453911,-2.7062436045265,0.88808049105493,-3.04729541047773,0.00230910655264463,0.0223175471749798
"Rhag",20721.4969739198,-2.57966543350258,0.718368819789859,-3.59100417840685,0.000329406354381318,0.00462016425347519
"Mt2",316.301923393117,-2.56496889268157,0.905446694045074,-2.83282153389129,0.00461391376940887,0.037917560695936
"Mylk3",7315.87070063424,-2.54104598115912,0.713762291525669,-3.56007316627449,0.0003707514803437,0.00503593829696086
"Kcng1",86.6651695617904,-2.53237090392988,0.620752378431461,-4.07951864852901,0.0000451290496426315,0.00088494062092997
"Sphk1",1027.24770118945,-2.51735010722478,0.855588422641344,-2.94224423871153,0.00325842822238151,0.0288356791930883
"H2bc27",285.505499996859,-2.49617731574746,0.496369821446405,-5.0288659944589,0.000000493389037098395,0.0000170229626850362
"Rps18-ps6",46.540455578293,-2.43210142460245,0.807655796421552,-3.01130931688755,0.00260123722952995,0.0243506775339055
"Il31ra",153.096798602794,-2.41496383339955,0.591886911632092,-4.08011021352109,0.0000450143527637335,0.000884813371512136
"Parvb",423.547287570659,-2.40664017407214,0.424102175559401,-5.67467066373268,0.0000000138955724353831,0.000000697080342356613
"Scin",242.025254000857,-2.40014557695936,0.408609289465237,-5.8739378639691,0.00000000425562936367802,0.000000238344392512296
"Slc38a5",1737.88889443621,-2.33378519870108,0.788846672302492,-2.95847758587762,0.00309162724355111,0.0277347624470844
"Mfsd2b",8388.44461405378,-2.33183252274313,0.641705211820018,-3.6338064266761,0.000279270417292747,0.00400279439474635
"Tifab",915.439641571573,-2.32567091149258,0.351088151940616,-6.62417942228353,0.0000000000349182429169162,0.00000000303109067353914
"Ms4a2",979.117162181875,-2.29569429307788,0.448461827838301,-5.11904057507794,0.000000307093893460467,0.0000111853308099164
"Gm7701",331.607251070256,-2.29552821983625,0.813465327962194,-2.82191279816038,0.00477381558436221,0.0387901478593504
"Gata1",1267.41154676176,-2.26765933332473,0.469372253722216,-4.83125986962743,0.00000135671781988463,0.0000409368325210209
